title,performers,event_dates,price,venue,location,contact_information,description,genres,source_url,cluster
Mighty Mystic,Mighty Mystic,"February 7, 2026 at 8:00 PM",Prices from $43,Bayside Bowl - Maine,"Portland, ME 04101, 58 Alder St",Not provided in source.,"Mighty Mystic will be performing live at Bayside Bowl in Portland, ME.",Not provided in source.,https://americanarenas.com/city/portland-me-events/,1
MARK HUMMEL'S BLUES HARMONICA BLOWOUT (LATE SHOW),"Mark Hummel, Curtis Salgado, Magic Dick, RJ Mischo, Anson Funderburgh, Steve Freund","18th February 2026, 10:00 pm PST",$46.84 - $360.99,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",Not provided in source.,"Mark Hummel's Blues Harmonica Blowout features a lineup of renowned blues musicians, promising a night of exceptional musicianship and harmonica performance, honoring the legacy of blues music.",Blues,https://www.jacklondonrevue.com/tm-event/mark-hummels-blues-harmonica-blowout-late-show/,179
St. Patrick's Maker Market,Not provided in source.,"March 15, 2026, 11:00 AM - 5:00 PM",Not provided in source.,Victoria Bar,Portland,Not provided in source.,The St. Patrick's Maker Market is an event taking place at Victoria Bar in Portland.,Not provided in source.,https://dopdx.com/events/2026/3/15/st-patricks-maker-market-tickets,1
BURLY-Q REVUE,Not provided in source.,"January 17, 2026 at 10:30 pm PST",$23.15,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",info@ticketweb.com,"Join us for the latest edition of our late-night cabaret spectacular, hosted by the Mad Marquis and featuring some of the finest dancers from the Rose City and beyond. Enjoy a sensational evening of sultry and exotic delights, liberally spiced with old-fashioned spontaneous fun!",Not provided in source.,https://www.jacklondonrevue.com/tm-event/burly-q-revue-15/,1
Music + Lantern Viewing Night,Not provided in source.,"March 4, 2026 at 5:30 PM – 7:30 PM",$22.95,Lan Su Chinese Garden,"239 NW Everett Street, Portland, OR 97209","503-228-8131, [email protected]",An evening event featuring music and lanterns as part of the Lunar New Year celebrations.,Not provided in source.,https://lansugarden.org/events/photo/2026-03-02/,1
EARTH TO ASHES with Déjà Rêvé & Medoc,"Déjà Rêvé, Medoc","29 January 2026, 08:30 PM PST",$17.00,Dante's Live,"350 W Burnside St., Portland, OR, 97209, US","(866) 777-8932, DantesStarTheater@gmail.com",Earth To Ashes features performances by Déjà Rêvé and Medoc at Dante's Live.,Not provided in source.,https://www.danteslive.com/tm-event/earth-to-ashes-with-deja-reve-medoc/,1
Sofi Nava Live Performance,Sofi Nava,"March 6, 2026 at 7:30 p.m.","$17 in advance, $22 at the door",Walters Cultural Arts Center,Downtown Hillsboro,Not provided in source.,"Sofi Nava, a Venezuelan singer-songwriter and guitarist, will perform a mix of her original compositions and covers of hits by renowned artists like Shakira and Santana, showcasing the rhythms and stories of Latin music.","Latin pop, rock, salsa, Latin jazz",https://youroregonnews.com/2026/03/02/sofi-nava-to-share-latin-music-experience-at-hillsboros-walters-cultural-arts-center/,140
Monster Jam,Loghan Ashline,"Friday, February 27 and Saturday, February 28, 2026",Starting at around $40,Moda Center,Portland,Not provided in source.,"Monster Jam, the world’s largest and most famous monster truck tour, features trucks competing in jumps and other spectacular feats. It's a highly-anticipated show suitable for families.",Not provided in source.,https://www.oregonlive.com/live-entertainment/2026/02/the-worlds-most-famous-monster-truck-show-is-coming-to-portland-this-month-and-tickets-are-still-available.html,1
Special Event: Adam Friedland,Adam Friedland,"27th March 2026, 7:00 PM - 9:15 PM",,,,,,,,180
Mahjong for a Cause,Not provided in source.,"Thursday, April 2, 2026, from 5:30 PM to 7:30 PM",Suggested $40 donation,Cottage Golf Studio,"12375 SW Broadway St, Beaverton, OR 97005",katie.b@chooseflyingpig.com,"Learn Mahjong at Cottage Golf Studio while supporting women’s heart health. This donation class is designed for both beginners and those looking to build confidence in their play, with proceeds supporting the American Heart Association's Women of Impact campaign.",Not provided in source.,https://www.eventbrite.com/e/mahjong-for-a-cause-tickets-1984819262845,1
MARK HUMMEL'S BLUES HARMONICA BLOWOUT (LATE SHOW),"Mark Hummel, Curtis Salgado, Magic Dick, RJ Mischo, Anson Funderburgh, Steve Freund","18 February 2026, 10:00 PM PST",Not provided in source.,Jack London Revue,"529 SW 4th Ave., Portland, OR 97204",Not provided in source.,"The event features Mark Hummel's celebrated Blues Harmonica Blowout™, showcasing a lineup of renowned blues musicians delivering an evening of exceptional musicianship and harmonica performances.",Blues,https://www.ticketweb.com/event/mark-hummels-blues-harmonica-blowout-jack-london-revue-tickets/14020484,179
Meet PBC or Back In The Saddle Again: Panera Bakery,Not provided in source.,"Sunday January 25th, 2026 at 1:00 pm",Not provided in source.,Not provided in source.,"N Princeton St & North Carey Boulevard, Portland, OR, USA",Ann Morrow [email protected] (360) 608-3173,"This urban bike ride will showcase Peninsula Crossing and Marine Drive Bike Path, with a stop at Panera Bakery. Participants will explore various routes around Portland Metro.",Not provided in source.,https://portlandbicyclingclub.com/scheduled_rides/meet-pbc-or-back-in-the-saddle-again-panera-bakery-7/,1
Pop Up Play,Not provided in source.,"March 4, 2026, 10:00 am - 12:00 pm",Free,The Well Church,"4340 N Lombard St, Porland, OR 97203, United States",Not provided in source.,"Enjoy a fun-filled morning of connection and playtime at an engaging and safe indoor play gym for 1-5 year olds, with coffee and tea for adults.",Not provided in source.,https://pdxparent.com/event-single/pop-up-play/2026-03-04/,1
THE CLAM JAM ALL-STARS,"Chelsea Luker, Liz Chibucos, Aniana","January 6, 2026 at 8:00 pm",Not provided in source.,The Goodfoot,"2845 SE Stark Street, Portland, OR 97214",503-239-9292,"A celebration featuring Portland’s powerhouse women in the jam scene, showcasing genre-bending grooves and collaborations.",Not provided in source.,https://thegoodfoot.com/events/the-clam-jam-all-stars-8pm-doors/,1
Family Preservation Project's 5th Annual Day of Empathy,"Chesa Boudin, Open Hearts Open Minds, Family Preservation Project Alumni, The Lullaby Project","Monday, March 9, 2026, Doors: 5:30 am, Show: 6:30 am",Sliding scale (not specified),Alberta Rose Theatre,"3000 NE Alberta Street, Portland, OR 97211","booking@albertarosetheatre.com, 503.719.6055","The event includes a showing of the short film “Like a Shield,” discussions about the experiences of children with incarcerated parents, dramatic storytelling, and music from The Lullaby Project to support the Family Preservation Project.",Not provided in source.,https://albertarosetheatre.com/event/family-preservation-projects-5th-annual-day-of-empathy/alberta-rose-theatre/portland-oregon/,1
STOP MAKING SENSE: A Talking Heads Dance Party,"DJs Oscurita, Nathan Detroit, and Ben Tactic","Saturday, April 11, 2026, Doors: 6 pm",$0 to $19.17,Holocene,"1001 Southeast Morrison Street, Portland, OR 97214",503.239.7639,"A dance party celebrating the music and influence of Talking Heads, featuring music from all their albums and related projects.","Dance, Music",https://www.holocene.org/event/stop-making-sense-a-talking-heads-dance-party-21-early-event/holocene/portland/,181
Music Olympics,Not provided in source.,"March 5, 2026, 6:00 pm - 8:00 pm",Not provided in source.,Hidden Creek Community Center,"5100 NE Hidden Creek Dr, Hillsboro, OR, 97124, United States",(503) 567-1713,"The Music Olympics invites participants to engage in a friendly competition featuring various musical activities. Attendees can participate in challenges such as Song Association, Name that Tune, and Pass the Rhythm, celebrating music across different decades.",Not provided in source.,https://tvcreates.org/event/music-olympics/,1
Natty's: The Wild Bunch Kick-Off Party,Not provided in source.,"Thursday, March 5, 2026 at 6:00 PM",Not provided in source.,Natty's Wine Bar,"2005 SE 8th Ave, Portland, OR 97214",Not provided in source.,"Natty's is hosting a special edition kick-off for The Wild Bunch festivities, featuring select producers from the upcoming Wild Bunch Wine Fair, which showcases over 70 wineries and cideries emphasizing organic and biodynamic practices.",Not provided in source.,https://www.eventbrite.com/e/nattys-the-wild-bunch-kick-off-party-tickets-1983236611091,1
"TobyMac, Crowder & Jeremy Camp","TobyMac, Crowder, Jeremy Camp",1st March 2026 at 6:30 PM,Not provided in source.,Not provided in source.,Not provided in source.,(866) 459 9233,"Join TobyMac, Crowder, and Jeremy Camp for an ultimate concert experience.",Not provided in source.,https://americanarenas.com/events/tobymac-crowder-and-jeremy-camp-portland-sunday-march-1-2026-630-pm/,1
RITUALS OF MINE w/ LabRats,"Rituals of Mine, LabRats",31 January 2026 at 8:00 PM PST,$26.24,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",Not provided in source.,"Rituals of Mine, the project of Sacramento-based artist Terra Lopez, blends electronic, R&B, and trip-hop influences into an intimate and powerful sound. The show features a collaboration with jazz/hip-hop trio LabRats and includes a late-night cabaret admission for ticket holders.","Electronic, R&B, Trip-hop",https://www.jacklondonrevue.com/tm-event/rituals-of-mine-w-labrats/,182
Corb Lund with Branson Anderson,"Corb Lund, Branson Anderson","26 March 2026, 09:00 pm PDT",$26.24,Dante's,"350 West Burnside Street, Portland, OR, 97209, US","(866) 777-8932, DantesStarTheater@gmail.com","Corb Lund, a western Canadian singer-songwriter from Alberta, will perform live with Branson Anderson, showcasing his unique blend of outlaw country, Western, and indie-folk music.","Outlaw country, Western, indie-folk",https://www.danteslive.com/tm-event/corb-lund-with-guests/,183
2026 Biamp Portland Jazz Festival: St. Vincent,St. Vincent,6th March 2026 at 8:00 PM,Starting at $94.68,Arlene Schnitzer Concert Hall,Portland,Not provided in source.,"St. Vincent, an innovative and celebrated indie rock artist, will perform as part of the 2026 Biamp Portland Jazz Festival. Known for her critically acclaimed albums and powerful live performances, St. Vincent has won multiple GRAMMYs and continues to captivate audiences with her unique sound.",Indie Rock,https://dopdx.com/events/2026/3/6/2026-biamp-portland-jazz-festival-st-vincent-tickets,97
Cinematic Sound Showcase,Student teams from the Narrative Film II and Music & Visual Media classes,Monday March 16th 2026 6:00 PM - 7:30 PM,Free and open to the public,Lincoln Hall Studio Theater (LH 115),"1620 SW Park Ave. Portland, OR",Caroline Miller carom2@pdx.edu,"An evening of collaboration featuring original films with original scores, developed by student teams, followed by a Q&A and a light reception.",Not provided in source.,https://www.pdx.edu/music-theater/events/cinematic-sound-showcase-0,1
The Portland Family Band,Kris Stuart and allstar crew,"February 6, 2026 6:00 pm - 8:00 pm",FREE,Laurelthirst Public House,Not provided in source.,Not provided in source.,Kris Stuart brings in a stellar allstar crew to play country-fried and southern roots-rock.,"Country, Roots-Rock",https://laurelthirst.com/events/the-portland-family-band-21/,91
11th Annual Portland Winter Light Festival,Not provided in source.,"February 13, 2026 at 6:00 pm - 10:00 pm",Not provided in source.,Pioneer Courthouse Square,"701 SW 6th Ave. Portland, OR 97204 United States",Not provided in source.,"The 11th Annual Portland Winter Light Festival is a citywide celebration that brings together people through immersive art and innovation, creating opportunities for community connection and engagement with Portland's creative spirit.",Not provided in source.,https://www.thesquarepdx.org/event/11th-annual-portland-winter-light-festival/2026-02-13/,1
Sofi Nava & Friends: A Latin Music Experience!,Sofi Nava and her dynamic band,"March 6, 2026, 7:30 PM - 9:30 PM","$18 advance, $23 day of show",Walters Cultural Arts Center,"527 East Main Street, Hillsboro, OR, United States",(503) 567-1713,"An electrifying night featuring award-winning Venezuelan singer-songwriter Sofi Nava, as she performs soulful original compositions and arrangements of beloved Latin music anthems.","Latin pop, rock, salsa, Latin jazz",https://tvcreates.org/events/category/culture/,140
Mo Dotti + American Moon + Aqua Celestia,"Mo Dotti, American Moon, Aqua Celestia","April 25, 2026, 7:30 PM",$15.00 +$0.38 ticket service fee,Turn! Turn! Turn!,"8 NE Killingsworth St, Portland, OR 97211, USA",joelchristerson@gmail.com,"A concert featuring Mo Dotti, American Moon, and Aqua Celestia at Turn! Turn! Turn!.",Not provided in source.,https://www.lonelygodpdx.com/events/mo-dotti-american-moon-aqua-celestia-turn-turn-turn,1
Quick and Easy Boys,The Quick & Easy Boys,"April 18, 2026 6:00 pm - 8:00 pm",FREE,Laurelthirst Public House,Not provided in source.,Not provided in source.,"The Quick & Easy Boys are a power-trio from Portland, Oregon, known for their interactive performances and unique blend of rock and roll, inspired by bands like the Minutemen and the Police. They have gained a reputation for their high-energy shows and musical evolution since forming in 2005.",Rock and roll,https://laurelthirst.com/events/quick-and-easy-boys-2/,184
Sojourner,Zuhariah,"8 March 2026, 3:00 PM to 5:00 PM",Not provided in source.,People of Purpose Center,"84 NE Killingsworth St, Portland, OR 97211",Not provided in source.,"Based on the life and times of freedom fighter Sojourner Truth, this powerful story is told through the emotional testimony of Zuhariah, highlighting her impact on the abolition of slavery, women’s rights, and more.",Performing Arts,https://www.eventbrite.com/e/sojourner-tickets-1980606586617,185
Once Within a Time,Not provided in source.,"March 14, 2026 4:00 pm - 6:00 pm",Not provided in source.,PAM CUT’s Tomorrow Theater,"3530 SE Division St., Portland, OR","info@pamcut.org, 503-221-1156","Once Within a Time is an event hosted by the Portland Art Museum at the Tomorrow Theater, designed to be accessible for all attendees.",Not provided in source.,https://portlandartmuseum.org/event/once-within-a-time/,1
Hadestown: Teen Edition,STAGES Performing Arts Youth Academy,"January 30, 2026; February 1, 2026; February 6, 2026; February 7, 2026",Variable Pricing,The Vault Theater & Event Space,"Hillsboro, OR",503-345-9590; info@bagnbaggage.org,"Bag&Baggage Productions presents a full-length adaptation of Anaïs Mitchell’s Tony-winning folk-rock musical, specifically designed for young performers, featuring local youth talent who retell mythic love stories through a blend of New Orleans jazz, Americana, and indie-folk rhythms.","Theater, Folk-Rock",https://bagnbaggage.org/event/hadestown-teen-edition/2026-01-25/,186
OCHA 2026 Lunar New Year Celebration and Basketball Invitational,Not provided in source.,"Sunday, February 22 from 8:30 am to 5:00 pm",Free for all general attendees. Registration through Eventbrite is required.,Moda Center,"200 N Ramsay Wy, Portland, OR 97227",Not provided in source.,"Join the Oregon Chinese Hoop Alliance (OCHA) and the Portland community for a vibrant celebration of the 2026 Lunar New Year, featuring a basketball invitational, cultural attractions, and local Asian cuisine.","Sports, Culture",https://www.eventbrite.com/e/ocha-2026-lunar-new-year-celebration-and-basketball-invitational-tickets-1981511617589,187
Local Singer-Songwriter Night,"Tony Cardo, Danit Chetron, Sav",30th January 2026 at 7:30 PM,"$12 in advance, $17 day of the show, $5 for qualifying individuals",Walters Cultural Arts Center,"Hillsboro, Oregon",Not provided in source.,"Hillsboro’s Walters Cultural Arts Center will host its fifth annual Local Singer-Songwriter Night, showcasing homegrown talent from Washington County across various genres and stories.",Not provided in source.,https://hillsboronewstimes.com/2025/12/17/local-talent-takes-stage-at-walters-5th-annual-singer-songwriter-night-in-hillsboro/,1
Outdoor School Benefit Concert,"Johnny Young, Kaia Müller, The Wild Lilacs, Kelly Bosworth","Sunday, March 1, 2026, 2:00 PM - 5:00 PM",$48.75,Mission Theater,"1624 NW Glisan St, Portland, OR 97209",Not provided in source.,"This concert celebrates the Outdoor School community featuring various performers, headlined by Johnny Young.",Not provided in source.,https://everout.com/portland/events/outdoor-school-benefit-concert/e231498/,1
TOODY COLE AND HER BAND with Chatter Box,"Toody Cole and Her Band, Chatter Box","March 17, 2026, 8:00 pm PDT",$30.36,Star Theater,"13 NW Sixth Avenue, Portland, OR 97209","(866) 777-8932, dantesstartheater@gmail.com",Toody Cole and her band will perform alongside Chatter Box at the Star Theater.,Not provided in source.,https://www.startheaterportland.com/tm-event/toody-cole-and-her-band-with-chatter-box/,1
Pictures at an Exhibition,"Gil Shaham, Oregon Symphony, David Danzmayr","February 7, 2026, 7:30 PM",Price:,Venue:,Location:,Contact Information:,Description:,Genres:,Source URL:,3
Chad Daniels,Chad Daniels,6th March 2026 at 7:00 PM,Not provided in source.,Helium Comedy Club,"Portland, OR",Not provided in source.,"Chad Daniels, a prominent comedian with over a billion streams from his eight albums, will perform at Helium Comedy Club. He is acclaimed for his sharp wit and has been featured on numerous late-night shows. His latest special, ""EMPTY NESTER,"" premiered on Netflix.",Comedy,https://dopdx.com/events/2026/3/6/chad-daniels-tickets,12
Marco Brambilla: Maximalist Dreamscapes,Not provided in source.,"November 20, 2025 - November 20, 2026","Free for Members, $27.50 for Adults, $24.50 for Seniors 65+, $22.50 for Students, Free for Children 17 and under",Portland Art Museum,"1219 SW Park Ave, Portland, OR 97205","info@pam.org, 503-226-2811","The exhibition features Marco Brambilla's works ""Heaven's Gate"" and ""Anthology"", showcasing high-definition video and photo-montage exploring themes of cinematic storytelling and visual memory.",Not provided in source.,https://portlandartmuseum.org/event/marco-brambilla/,1
Biamp PDX Jazz Festival,"ST VINCENT, MAVIS STAPLES, MADELEINE PEYROUX, BILL FRISELL TRIO, MONONEON + MOHINI DEY, JEFF PARKER IVTet + SML, TIGRAN HAMASAYAN, CYRUS CHESTNUT, CHARLIE HUNTER TRIO, ROGER ENO, BRANDON WOODY'S UPENDO, DELBERT ANDERSON, JARROD LAWSON, ISAIAH SHARKEY, LADY BLACKBIRD, MITCHUM YACOUB + JUNGLE FIRE, SAM GREENFIELD, COCHEMEA, CHARLIE BROWN III, STUMPTOWN SIRENS JAZZ ORCHESTRA, BLUE CRANES, SHIRLEY NANETTE, DRECKIG, SHELLY RUDOLPH, ALAN JONES TRIO, FOAMBOY","March 5, 2026 - March 14, 2026, 12:00 AM - 11:59 PM",Not provided in source.,Various venues (Portland Jazz Festival),"Portland, Oregon","503.228.JAZZ (5299), info@pdxjazz.com","The Biamp Portland Jazz Festival is a ten-day, multi-venue celebration of jazz, featuring recognized jazz masters and rising stars along with local heroes at over 30 venues throughout Portland.","Jazz, Blues",https://pdxjazz.org/festival/,123
Nothing More,Nothing More,"March 11th, 2026 at 5:00 PM","$54.75 Advance, $76.75 21+ Reserved Balcony Tickets",Crystal Ballroom,"Portland, Oregon",Not provided in source.,"Nothing More, a Grammy-nominated rock band, is performing as part of their Carnal Nature World Tour. The event welcomes all ages and features their hit singles from the critically acclaimed ""Carnal"" album.",Rock,https://crystalballroompdx.com/events/267480,22
2026 Portland Jewish Film Festival,Not provided in source.,"Every day, through March 1, 2026",Not provided in source.,various locations - around Portland,"Portland, OR",Not provided in source.,"The 2026 Portland Jewish Film Festival invites audiences to gather together and explore stories around identity, memory, conflict, and care, emphasizing shared humanity. Presented by the Oregon Jewish Museum and Center for Holocaust Education in partnership with PAM CUT.",Film,https://everout.com/portland/events/2026-portland-jewish-film-festival/e231625/,72
WILL EVANS,Will Evans,"April 11, 2026, Doors: 7:00 pm, SHOW: 8:00 pm PDT",$26.24,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",Not provided in source.,"Will Evans is set to perform at Jack London Revue, showcasing his blend of folk tradition and global textures, aiming to create a space for kindness and connection through music.","Folk, Electronica, Rock",https://www.jacklondonrevue.com/tm-event/will-evans/,188
Outer Orbit Presents: The Music of Sly & The Family Stone,Outer Orbit,"Saturday, April 18 at 8 pm to Sunday, April 19 at 1 am",$15,Goodfoot Pub & Lounge,"2845 SE Stark St, Portland, OR 97214",Not provided in source.,PDX funk & soul maestros celebrate the catalogue of the great Sly & The Family Stone with a special show dedicated to his music.,"Funk, Soul",https://www.eventbrite.com/e/outer-orbit-presents-the-music-of-sly-the-family-stone-tickets-1984580637109,13
TONY COLEMAN'S TRIBUTE TO THE THREE KINGS,"Tony Coleman, Mike Osborn, Peter Dammann, Louis Pain, John Mazzocco, Chris Mercer","March 27, 2026, Doors: 7:00 pm, SHOW: 8:00 pm PDT",$26.24 - $206.49,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",Not provided in source.,"Tony Coleman, a renowned blues drummer, leads a tribute to three legendary blues guitarists—BB King, Albert King, and Freddie King—with an all-star lineup of Portland musicians.",Blues,https://www.jacklondonrevue.com/tm-event/tony-colemans-tribute-to-the-three-kings/,179
Lantern Viewing Dragon + Light Show Nights,"Noble Robot, Portland Lee’s Association","February eighteenth to March first, 2026, 5:30 PM",Not provided in source.,Lan Su Chinese Garden,Portland,Not provided in source.,"Experience Lunar New Year at Lan Su with glowing lantern sculptures from China, a magical zodiac animals light show, and a live Dragon Dance procession.",Not provided in source.,https://dopdx.com/events/2026/2/18/lantern-viewing-dragon-light-show-nights-tickets,1
Marvin’s Rescue,"Delphon “DJ” Curtis, Jr, Victor Polanco, Susannah Mars, Jimmy Garcia, Lydia Flemming, Jessica Tidd, Derek Gregerson, Tia Lempert, Danielle Barker, Mel Kubik, Marv Ross, Doug Fraser, Dan Stueber","March 13-29, 2026",Not provided in source.,Ellyn Bye Studio at The Armory,"602 NE Prescott Street, Portland, OR 97211","(503) 488-5822, [email protected]","Marvin’s Rescue is a musical comedy by Marv Ross, telling a heartwarming story about dogs and the lessons they teach us about love.",Musical comedy,https://portlandplayhouse.org/shows-events/marvins-rescue/,128
Finding Lucinda – Doc Screening & Lucinda Williams Tribute,"ISMAY, Margo Cilker, John Shepski, Corinne Sharlet, Pati Rojas, and more","March 21, 2026 7:00 PM - 10:30 PM",$22.13,Cravin' Gravy Social Club,"665 North Tillamook Street, Portland, Oregon 97227",tunziLLC@gmail.com,"Finding Lucinda is an event that combines live performances, a documentary screening, and conversations celebrating the life and influence of Lucinda Williams. It features ISMAY and special guests performing songs by Lucinda Williams as well as a film exploring her legacy.",Not provided in source.,https://www.simpletix.com/e/finding-lucinda-doc-screening-lucinda-will-tickets-253159,1
EYEHATEGOD with Crowbar & Bl'ast,"Eyehategod, Crowbar, BL'AST!","1st April 2026, 07:00 pm PDT",$42.72,Dante's Live,"350 W Burnside St, Portland, OR, 97209, US","(866) 777-8932, DantesStarTheater@gmail.com","A live performance featuring Eyehategod, Crowbar, and BL'AST! at Dante's Live in Portland.",Not provided in source.,https://www.danteslive.com/tm-event/eyehategod-with-crowbar-blast/,1
Latin Dance Night: Valentine’s Edition,Dina y Los Rumberos,14th February 2026 from 7:00 PM to 10:00 PM,"$14 in advance, $16 on the day of the event",Walters Cultural Arts Center,"Hillsboro, Oregon",Not provided in source.,"The Walters Cultural Arts Center will host a special Valentine’s edition of its Latin Dance Night, featuring a dance lesson followed by live music.","Latin, salsa, cumbia, Afro-Latin",https://youroregonnews.com/2026/02/02/hillsboros-walters-cultural-center-to-host-latin-dance-night-valentines-edition/,189
2026 Biamp Portland Jazz Festival: St. Vincent,"St. Vincent, Tuck & Patti","Friday, March 6, 2026 8:00 PM",Starting at $71.83,Arlene Schnitzer Concert Hall,"1037 SW Broadway, Portland, OR 97205",503-248-4335,"St. Vincent will perform at the 2026 Biamp Portland Jazz Festival, accompanied by the jazz duo Tuck & Patti. This event promises an intimate performance blending St. Vincent's innovative music style with the duo's acoustic virtuosity, showcasing a family legacy in music.","Jazz, Alternative",https://www.portland5.com/arlene-schnitzer-concert-hall/events/2026-biamp-portland-jazz-festival-st-vincent,190
Holi Festival of Colors,Not provided in source.,"April 4, 2026 at 12:00 pm",Not provided in source.,Pioneer Courthouse Square,"701 SW 6th Ave. Portland, OR 97204 United States",Not provided in source.,Portland Holi returns! Come dressed in white and play with color powder to celebrate India’s festival HOLI to welcome Spring!,Not provided in source.,https://www.thesquarepdx.org/event/holi-festival-of-colors-2/2026-04-04/,1
The Rocky Horror Picture Show with the Clinton Street Cabaret,Clinton Street Cabaret,"January 17, 2026 at 10:30 PM",$12,Clinton Street Theater,"Portland, Oregon",[protected email],Join the weekly screenings of The Rocky Horror Picture Show featuring the Clinton Street Cabaret. This 1975 classic continues to entertain audiences with its vibrant performances.,Not provided in source.,https://cstpdx.com/event/the-rocky-horror-picture-show-with-the-clinton-street-cabaret-79/,1
Bobby Short Shorts - Marcelo Guitron Band,Marcelo Guitron Band,"9th April 2026, 8:00 PM",Not provided in source.,White Eagle Saloon,"836 N Russell St., Portland, OR 97227",(503) 282-6810,"Bobby Short Shorts features the Marcelo Guitron Band, a five-piece group delivering a rich musical experience inspired by various genres including rock, soul, funk, and more.","Rock, Soul, Funk, Blues, Reggae, World Music",https://www.mcmenamins.com/events/275833-bobby-short-shorts,191
GrindHouse disco~glam~metal~punk,Not provided in source.,"February fourteenth, 2026 at 11:30 PM PST",$1.05,Dante's Live,"350 W Burnside St, Portland, OR, 97209, US","(866) 777-8932, DantesStarTheater@gmail.com","GrindHouse disco~glam~metal~punk event happening at Dante's Live, featuring a unique blend of music genres.","disco, glam, metal, punk",https://www.danteslive.com/tm-event/grindhouse-discoglammetalpunk-4/,23
2026 Oscar Nominated Shorts,Not provided in source.,"Daily through March 12, 2026",$11,Cinema 21,"616 NW 21st, Portland, OR",Not provided in source.,A screening of the 2026 Oscar nominated short films at Cinema 21 in Portland.,Film,https://everout.com/portland/events/2026-oscar-nominated-shorts/e233064/,72
TAHIRAH MEMORY: VALENTINE'S DAY (LATE SHOW),Tahirah Memory,"February 14, 2026, at 10:00 pm PST",$31.39 - $237.39,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",Not provided in source.,"Join us this Valentine's Day for an evening with Portland's extraordinary soul vocalist Tahirah Memory, known for her engaging performances and rich musical background.",Soul,https://www.jacklondonrevue.com/tm-event/tahirah-memory-valentines-day-late-show/,192
El Chipondigas,Not provided in source.,"Every day, through March 8, 2026, 7 am–4 pm",Not provided in source.,Dos Hermanos,"1015 SE Stark St, Portland, OR 97214",Not provided in source.,"El Chipondigas is a sandwich inspired by childhood memories, featuring ingredients like semolina roll, beef meatballs, chipotle sauce, mozzarella cheese, lettuce, red onion, cilantro, and chipotle mayo.",Not provided in source.,https://everout.com/portland/events/el-chipondigas/e230114/,1
Noah Gundersen,"Noah Gundersen, Jonny G, The Music Factory","Friday, January 16th, 2026 at 8:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,Noah Gundersen is performing with Jonny G and The Music Factory at the Hawthorne Theatre.,Not provided in source.,https://hawthornetheatre.com/event/noah-gundersen/hawthorne-theatre/portland-oregon/,1
Magnolia Floral Showcase,Lauren Say and Lan Su horticulture team,"March 21, 2026, 10:00 AM – 6:30 PM",Free with admission or membership,Lan Su Chinese Garden,"239 NW Everett Street, Portland, Oregon 97209","503-228-8131, [email protected]","The Magnolia Floral Showcase features large-scale magnolia installations and interpretive displays with educational posters and floral pieces, highlighting artistic floral design by Lauren Say and the Lan Su horticulture team.",Not provided in source.,https://lansugarden.org/event/magnolia-floral-showcase/2026-03-21/,1
POP PRINCESS: A NIGHT OF ICONS,Not provided in source.,"April 26, 2026, 7:00 pm PDT",$30.36 - $173.53,Star Theater,"13 NW Sixth Avenue, Portland, OR","(866) 777-8932, dantesstartheater@gmail.com","Pop Princess: A Night of Icons is a live performance showcase celebrating the music and energy of pop icons across eras. The show features pole dancers and drag performers, blending movement, glamour, and theatrical flair into an unforgettable night, with performances inspired by pop legends like Britney, Madonna, and Gaga.",Not provided in source.,https://www.startheaterportland.com/tm-event/pop-princess-a-night-of-icons/,1
Japanese Sing & Play,Not provided in source.,"February 28, 2026, 9:00 am - 10:00 am",Free,International School of Portland,"2305 S Water Ave, Portland, OR 97201, United States",Not provided in source.,"A free, 30-minute sample class for children ages 2 to 5 led by Japanese track Preschool or Kindergarten teachers, featuring Japanese songs and games.",Not provided in source.,https://pdxparent.com/event-single/japanese-sing-play-2/,1
The Great Muppet Caper,Not provided in source.,"Thu March 12, 2026 5:00PM",Not provided in source.,Kennedy School,Portland,Not provided in source.,"Kermit and Fozzie, acting as newspaper reporters, travel to London to interview Lady Holiday, a fashion designer whose diamond necklace is stolen. Kermit falls in love with her secretary, Miss Piggy, while trying to catch the jewel thieves.",Not provided in source.,https://dopdx.com/events/2026/3/12/the-great-muppet-caper-tickets,1
Moonshine Bandits Night 2,"Moonshine Bandits, Kelsey Lynn, Big Murph","Saturday, April 18 at 9:00 PM to Sunday, April 19",Not provided in source.,Ponderosa Lounge & Grill,"10350 N Vancouver Way, Portland, OR 97224",Not provided in source.,"Moonshine Bandits return to the Ponderosa Lounge for their annual reunion featuring high-energy outlaw-country rap-rock performances. Along with them, Kelsey Lynn and Big Murph will open the event, promising a night of party-starting anthems and genre-blending music.","Outlaw-country, rap-rock",https://www.eventbrite.com/e/moonshine-bandits-night-2-tickets-1977113321166,193
